 Program starts execution at  2017-08-29 21:00:57 
Authentication starts  2017-08-29 21:00:57 
Authentication completed  2017-08-29 21:00:57 
Starting time for searching pages which have the given search string  Batman 2017-08-29 21:00:57 
Finishing time for searching pages which have the given search string  2017-08-29 21:01:03 
Starting time for going through each page  2017-08-29 21:01:03 
Starting time		 Page Id	Number of relevant posts	 Finishing Time 
 2017-08-29 21:15:33 	 115212435194545_744259828956466 		 0 		 2017-08-29 21:15:33 
 2017-08-29 21:15:33 	 115212435194545_743402189042230 		 0 		 2017-08-29 21:15:34 
 2017-08-29 21:15:34 	 115212435194545_738953622820420 		 0 		 2017-08-29 21:15:34 
 2017-08-29 21:15:34 	 115212435194545_737147856334330 		 1 		 2017-08-29 21:15:35 
 2017-08-29 21:15:35 	 115212435194545_736252506423865 		 0 		 2017-08-29 21:15:35 
 2017-08-29 21:15:35 	 115212435194545_733696553346127 		 2 		 2017-08-29 21:15:36 
 2017-08-29 21:15:36 	 115212435194545_729769680405481 		 1 		 2017-08-29 21:15:36 
 2017-08-29 21:15:36 	 115212435194545_726355917413524 		 0 		 2017-08-29 21:15:37 
 2017-08-29 21:15:37 	 115212435194545_725808584134924 		 0 		 2017-08-29 21:15:37 

 Total time taken is  14.7425758520762 Program starts execution at  2017-08-30 08:07:18 
Authentication starts  2017-08-30 08:07:18 
Authentication completed  2017-08-30 08:07:18 
Starting time for searching pages which have the given search string  Batman 2017-08-30 08:07:18 
Finishing time for searching pages which have the given search string  2017-08-30 08:07:23 
Starting time for going through each page  2017-08-30 08:07:23 
Starting time		 Page Id	Number of relevant posts	 Finishing Time 
 2017-08-30 08:07:23 	 6939574006 		 49 		 2017-08-30 08:07:31 
 2017-08-30 08:07:31 	 327870787270024 		 49 		 2017-08-30 08:07:45 
 2017-08-30 08:07:45 	 377087858977457 		 49 		 2017-08-30 08:07:50 
 2017-08-30 08:07:50 	 12887942787 		 49 		 2017-08-30 08:07:59 
 2017-08-30 08:07:59 	 246344278767961 		 49 		 2017-08-30 08:08:02 
 2017-08-30 08:08:02 	 108276635866785 		 0 		 2017-08-30 08:08:03 
 2017-08-30 08:08:03 	 1445217015723143 		 2 		 2017-08-30 08:08:09 
 2017-08-30 08:08:09 	 243645259169395 		 2 		 2017-08-30 08:08:23 
 2017-08-30 08:08:23 	 303404909824203 		 103 		 2017-08-30 08:08:40 
 2017-08-30 08:08:40 	 140262999339534 		 103 		 2017-08-30 08:08:49 
 2017-08-30 08:08:49 	 381902331832053 		 7 		 2017-08-30 08:08:55 
 2017-08-30 08:08:55 	 108152652539695 		 0 		 2017-08-30 08:08:55 
 2017-08-30 08:08:55 	 186302624823027 		 0 		 2017-08-30 08:09:02 
 2017-08-30 08:09:02 	 104148159620952 		 0 		 2017-08-30 08:09:02 
 2017-08-30 08:09:02 	 489990484427923 		 14 		 2017-08-30 08:09:15 
 2017-08-30 08:09:15 	 377563602306976 		 1929 		 2017-08-30 08:10:17 
 2017-08-30 08:10:17 	 157563471080362 		 1929 		 2017-08-30 08:10:25 
 2017-08-30 08:10:25 	 401916276491240 		 136 		 2017-08-30 08:10:51 
 2017-08-30 08:10:51 	 188119097891828 		 136 		 2017-08-30 08:11:07 
 2017-08-30 08:11:07 	 361783163849061 		 14 		 2017-08-30 08:11:18 
 2017-08-30 08:11:18 	 246657068828928 		 301 		 2017-08-30 08:11:32 
 2017-08-30 08:11:32 	 255143574663250 		 371 		 2017-08-30 08:11:46 
 2017-08-30 08:11:46 	 1484591551775903 		 125 		 2017-08-30 08:12:47 
 2017-08-30 08:12:47 	 921734577944553 		 125 		 2017-08-30 08:12:56 
 2017-08-30 08:12:56 	 131651236887054 		 125 		 2017-08-30 08:13:02 
 2017-08-30 08:13:02 	 1513930145507080 		 125 		 2017-08-30 08:13:12 
 2017-08-30 08:13:12 	 407804816232894 		 125 		 2017-08-30 08:13:26 
 2017-08-30 08:13:26 	 159335360892316 		 114 		 2017-08-30 08:13:48 
 2017-08-30 08:13:48 	 343037592451332 		 114 		 2017-08-30 08:13:54 
 2017-08-30 08:13:54 	 521308144635170 		 2 		 2017-08-30 08:14:02 
 2017-08-30 08:14:02 	 384501218272370 		 2 		 2017-08-30 08:14:09 
 2017-08-30 08:14:09 	 138770086257711 		 2 		 2017-08-30 08:14:24 
 2017-08-30 08:14:24 	 391010784260979 		 2 		 2017-08-30 08:14:26 
 2017-08-30 08:14:26 	 1504133893155515 		 51 		 2017-08-30 08:14:47 
 2017-08-30 08:14:47 	 112174645466293 		 0 		 2017-08-30 08:14:48 
 2017-08-30 08:14:48 	 981946825254748 		 150 		 2017-08-30 08:15:14 
 2017-08-30 08:15:14 	 18074565974 		 41 		 2017-08-30 08:15:24 
 2017-08-30 08:15:24 	 120792104597554 		 167 		 2017-08-30 08:15:40 
 2017-08-30 08:15:40 	 156215757869508 		 162 		 2017-08-30 08:16:01 
 2017-08-30 08:16:01 	 225034700870481 		 1965 		 2017-08-30 08:17:03 
 2017-08-30 08:17:03 	 152901641524353 		 735 		 2017-08-30 08:17:54 
 2017-08-30 08:17:54 	 131295793945502 		 735 		 2017-08-30 08:18:04 
 2017-08-30 08:18:04 	 303322216729299 		 0 		 2017-08-30 08:18:12 
 2017-08-30 08:18:12 	 233085137038271 		 0 		 2017-08-30 08:18:17 
 2017-08-30 08:18:17 	 911634338855575 		 0 		 2017-08-30 08:18:18 
 2017-08-30 08:18:18 	 913250162095996 		 41 		 2017-08-30 08:18:31 
 2017-08-30 08:18:31 	 279874682127187 		 41 		 2017-08-30 08:18:36 
 2017-08-30 08:18:36 	 100900529951459 		 41 		 2017-08-30 08:18:43 
 2017-08-30 08:18:43 	 225453220909909 		 29 		 2017-08-30 08:18:51 
 2017-08-30 08:18:51 	 1744564229148677 		 0 		 2017-08-30 08:19:01 
 2017-08-30 08:19:01 	 277421622411743 		 0 		 2017-08-30 08:19:07 
