 Program starts execution at  2017-08-27 20:23:30 
Authentication starts  2017-08-27 20:23:30 
Authentication completed  2017-08-27 20:23:30 
Starting time for searching pages which have the given search string  Johnson's Baby 2017-08-27 20:23:30 
Finishing time for searching pages which have the given search string  2017-08-27 20:23:34 
Starting time for going through each page  2017-08-27 20:23:34 
Starting time		 Page Id	Number of relevant posts	 Finishing Time 
Starting time		 Page Id	Number of relevant posts	 Finishing Time 
 2017-08-28 11:16:30 	 455456497853339 		 201 		 2017-08-28 11:16:44 
 2017-08-28 11:16:44 	 808983935856626 		 124 		 2017-08-28 11:16:59 
 2017-08-28 11:16:59 	 203430686344252 		 26 		 2017-08-28 11:17:15 
 2017-08-28 11:17:15 	 652009268252477 		 0 		 2017-08-28 11:17:15 
 2017-08-28 11:17:15 	 247011999074396 		 100 		 2017-08-28 11:17:30 
 2017-08-28 11:17:30 	 1401726966819533 		 6 		 2017-08-28 11:17:34 
 2017-08-28 11:17:34 	 242625655858632 		 0 		 2017-08-28 11:17:42 
 2017-08-28 11:17:42 	 347549351998745 		 0 		 2017-08-28 11:17:47 
 2017-08-28 11:17:47 	 242704452480990 		 7 		 2017-08-28 11:17:57 
 2017-08-28 11:17:57 	 493761177354026 		 0 		 2017-08-28 11:18:02 
 2017-08-28 11:18:02 	 197154826973195 		 0 		 2017-08-28 11:18:02 
 2017-08-28 11:18:02 	 132161706910572 		 0 		 2017-08-28 11:18:03 
 2017-08-28 11:18:03 	 107124999410167 		 1 		 2017-08-28 11:18:04 
 2017-08-28 11:18:04 	 498893983603624 		 0 		 2017-08-28 11:18:04 
 2017-08-28 11:18:04 	 157549494431366 		 0 		 2017-08-28 11:18:05 
 2017-08-28 11:18:05 	 1020729644637153 		 0 		 2017-08-28 11:18:05 
 2017-08-28 11:18:05 	 687849647974316 		 0 		 2017-08-28 11:18:06 
 2017-08-28 11:18:06 	 205521639608486 		 15 		 2017-08-28 11:18:10 
 2017-08-28 11:18:10 	 60542426445 		 0 		 2017-08-28 11:18:10 
