 Program starts execution at  2017-08-28 20:39:55 
Authentication starts  2017-08-28 20:39:55 
Authentication completed  2017-08-28 20:39:55 
Starting time for searching pages which have the given search string  Johnson's Baby 2017-08-28 20:39:55 
Finishing time for searching pages which have the given search string  2017-08-28 20:40:00 
Starting time for going through each page  2017-08-28 20:40:00 
Starting time		 Page Id	Number of relevant posts	 Finishing Time 
 2017-08-28 20:43:36 	 1591798094388810 		 0 		 2017-08-28 20:43:37 
 2017-08-28 20:43:37 	 1120281508061376 		 0 		 2017-08-28 20:43:37 
 2017-08-28 20:43:37 	 522442937950518 		 0 		 2017-08-28 20:43:38 
 2017-08-28 20:43:38 	 414509412268894 		 0 		 2017-08-28 20:43:39 
 2017-08-28 20:43:39 	 1893429024241640 		 0 		 2017-08-28 20:43:41 
 2017-08-28 20:43:41 	 400162810044553 		 0 		 2017-08-28 20:43:41 
 2017-08-28 20:43:41 	 1573528326230648_1573529899563824 		 67 		 2017-08-28 20:43:44 
 2017-08-28 20:43:44 	 1573528326230648_1573529309563883 		 28 		 2017-08-28 20:43:45 
 2017-08-28 20:43:45 	 1573528326230648_1573529069563907 		 28 		 2017-08-28 20:43:46 
Starting time for searching pages which have the given search string  Huggies 2017-08-28 20:43:54 
Finishing time for searching pages which have the given search string  2017-08-28 20:43:58 
Starting time for going through each page  2017-08-28 20:43:58 
Starting time		 Page Id	Number of relevant posts	 Finishing Time 
 2017-08-28 20:43:58 	 106874109386 		 3322 		 2017-08-28 20:46:05 
 2017-08-28 20:46:05 	 319059366375 		 1808 		 2017-08-28 20:47:19 
 2017-08-28 20:47:19 	 474656326063497 		 455 		 2017-08-28 20:47:53 
 2017-08-28 20:47:53 	 214233141923302 		 11215 		 2017-08-28 20:52:52 
 2017-08-28 20:52:52 	 257282031093487 		 455 		 2017-08-28 20:53:42 
 2017-08-28 20:53:42 	 143709322313947 		 254 		 2017-08-28 20:53:56 
 2017-08-28 20:53:56 	 174089972642686 		 316 		 2017-08-28 20:54:18 
 2017-08-28 20:54:18 	 169286526417134 		 410 		 2017-08-28 20:54:58 
 2017-08-28 20:54:58 	 376454302562817 		 535 		 2017-08-28 20:55:54 
 2017-08-28 20:55:54 	 262004933865391 		 455 		 2017-08-28 20:56:40 
 2017-08-28 20:56:40 	 1063942157056602 		 3319 		 2017-08-28 20:58:10 
